phonemized_utterance	processed_gloss
aɪ n oʊ oʊ n oʊ	i know oh no .
ɹ aɪ t ð æ t s ɡ ʊ d	right that's good .
ð æ t d oʊ n t k ʌ m aʊ t	that don't come out .
oʊ l ʊ k w ʌ t aɪ d ɪ d	oh look what i did !
iː t ɪ t ɹ aɪ t	eat it right .
ɑː ɹ w iː ɡ ʊ d	are we good ?
w ʌ t d ɪ d w iː iː t	what did we eat ?
d̠ʒ ʌ s t ɹ aɪ t	just right ?
w ɛ l j uː iː t ɪ t ð ɛ n	well you eat it then .
j uː s eɪ ð ɪ s	you say this .
oʊ ɡ ʊ d ɡ ʊ d	oh good good .
w iː d uː j ɛ h	we do yeah .
h iː d aʊ n ð ɛ ɹ	he down there ?
d oʊ n t d oʊ n t ɡ oʊ	don't don't go .
æ n d aɪ h æ v h ɪ m	and i have him .
ʌ p ð ɛ ɹ	up there ?
w ɛ l ð eɪ aɪ θ ɪ ŋ k	well they i think .
w iː ɡ oʊ d aʊ n	we go down .
j uː j uː d uː ɪ t	you you do it .
n oʊ n aʊ	no now .
ɪ t s ɡ oʊ ɪ ŋ	it's going !
ð æ t s ð ə ɹ aɪ t	that's the right .
j ɛ h ð ɛ ɹ z	yeah there's .
j ɛ h j uː n oʊ b eɪ b i	yeah you know baby ?
w iː w ʌ t	we what ?
n oʊ j uː j uː	no you you .
ɪ ɾ ɪ z ɹ aɪ t	it is right .
ð æ t s n ɑː t	that's not .
ɡ ə n ə ɡ oʊ ɡ ɛ t ɪ t	gonna go get it .
oʊ k eɪ k æ n aɪ s iː ɪ t	okay can i see it ?
aɪ m ɡ ə n ə p ʊ t	i'm gonna put .
w ʌ t d uː j uː w ɔ n t ð ɪ s	what do you want this ?
n oʊ l ɛ t s ɡ oʊ	no let's go .
j uː k æ n h æ v ɪ t n aʊ	you can have it now .
j uː w ɔ n t m iː	you want me ?
d ɪ d aɪ ɡ ɛ t w ʌ n	did i get one ?
ɪ n b ɪ ɡ w ʌ n	in big one .
j uː p l eɪ ɪ n h ɪ ɹ	you play in here .
oʊ aɪ s iː ɐ b eɪ b i	oh i see a baby !
n aʊ ð æ t s ð æ t	now that's that .
h iː d oʊ n t w ɔ n ə iː t n oʊ	he don't wanna eat no .
w ʌ t d uː aɪ	what do i .
k ʌ m ʌ p	come up !
h aʊ d ʌ z ʃ iː n oʊ	how does she know ?
j uː w ɔ n ə ɡ ɛ t h ɪ m	you wanna get him ?
b ʌ t w ɛ ɹ ɪ z	but where is .
f ɔː ɹ j uː t ə ɡ ɛ t t uː	for you to get to ?
w ɛ l k ʌ m ɔ n oʊ v ɚ h ɪ ɹ	well come on over here .
aɪ d oʊ n t n oʊ n ɑː t m iː	i don't know not me .
ɐ l ɪ ɾ ə l w ʌ n j ɛ h	a little one yeah .
d uː j uː θ ɪ ŋ k ʌ m	do you think um ?
f ɔː ɹ j ʊ ɹ w ʌ t	for your what ?
j ɛ h d oʊ n t j uː	yeah don't you ?
j ɛ h n aʊ d aʊ n d aʊ n	yeah now down down .
oʊ w ɛ ɹ ɪ ɾ ɪ z	oh where it is ?
oʊ w ʌ z	oh was .
æ n d w ʌ n æ n d w ʌ n	and one and one .
j ɛ h ɪ z ɪ t ɡ ʊ d	yeah is it good ?
s ʌ m ʌ v ɪ ɾ ɪ z ɡ ʊ d	some of it is good ?
w ɪ ð n oʊ	with no .
j ɛ h w ɛ l w iː d ɪ d ð æ t	yeah well we did that .
j ɛ h j uː s iː	yeah you see ?
oʊ ð ə b eɪ b i	oh the baby ?
h aʊ ɐ b aʊ t d uː	how about do .
oʊ k eɪ h iː k æ n	okay he can .
w ʌ t s ð æ t b eɪ b i	what's that baby ?
j uː d ɪ d l aɪ k ɪ t	you did like it .
aɪ ɡ oʊ aʊ t	i go out .
ɪ f ð eɪ w ɔ n ə iː t	if they wanna eat .
w ɛ l k ʌ m h ɪ ɹ ð ɛ n	well come here then .
j ɛ h s eɪ oʊ k eɪ	yeah say okay !
l ʊ k æ t ð ə b eɪ b i	look at the baby !
j uː w ɔ n ə h æ v w ʌ n	you wanna have one ?
d aʊ n h ɪ ɹ	down here !
ð eɪ k æ n b iː oʊ	they can be oh .
oʊ d ɪ d j uː d ɪ d aɪ	oh did you did i ?
k ʌ m p l eɪ	come play !
w ʌ t d ʌ z ʃ iː h æ v	what does she have ?
n oʊ ð ɛ ɹ z n ɑː t	no there's not .
oʊ d uː ð eɪ n aʊ	oh do they now ?
ð æ t s h aʊ w iː d uː ɪ t	that's how we do it .
aɪ θ ɪ ŋ k l ɛ t s s iː	i think let's see .
ð æ t s w ʌ t s	that's what's .
k æ n aɪ iː t ɪ t n aʊ	can i eat it now ?
n aʊ w ʌ t s ð æ t ɡ ə n ə b iː	now what's that gonna be ?
k æ n j uː p ʊ t ð æ t ɔ n	can you put that on ?
d uː j uː θ ɪ ŋ k ð æ t s ɹ aɪ t	do you think that's right ?
oʊ d oʊ n t ɡ oʊ oʊ v ɚ ð ɛ ɹ	oh don't go over there !
d uː j uː s iː h ɪ m h ɪ ɹ	do you see him here ?
j uː ɡ oʊ ɪ ŋ t ʊ iː t	you going to eat ?
oʊ l ʊ k w ʌ t aɪ s iː	oh look what i see .
w ɛ l w ʌ t d uː j uː n oʊ	well what do you know ?
oʊ ɪ z ð æ t ɹ aɪ t	oh is that right ?
